Time, Setpoint, Input, Output
1, 150.00, 38.50, 2000.00
2, 150.00, 38.25, 2000.00
3, 150.00, 38.50, 2000.00
4, 150.00, 38.25, 2000.00
5, 150.00, 38.25, 2000.00
6, 150.00, 38.25, 2000.00
7, 150.00, 38.25, 2000.00
8, 150.00, 38.50, 2000.00
9, 150.00, 39.00, 2000.00
10, 150.00, 39.00, 2000.00
11, 150.00, 39.50, 2000.00
12, 150.00, 39.75, 2000.00
13, 150.00, 40.50, 2000.00
14, 150.00, 40.75, 2000.00
15, 150.00, 41.25, 2000.00
16, 150.00, 42.00, 2000.00
17, 150.00, 42.75, 2000.00
18, 150.00, 43.50, 2000.00
19, 150.00, 44.25, 2000.00
20, 150.00, 44.75, 2000.00
21, 150.00, 45.50, 2000.00
22, 150.00, 46.75, 2000.00
23, 150.00, 47.75, 2000.00
24, 150.00, 48.75, 2000.00
25, 150.00, 49.75, 2000.00
26, 150.00, 50.50, 2000.00
27, 150.00, 51.25, 2000.00
28, 150.00, 52.00, 2000.00
29, 150.00, 53.00, 2000.00
30, 150.00, 54.00, 2000.00
31, 150.00, 55.50, 2000.00
32, 150.00, 56.50, 2000.00
33, 150.00, 58.00, 2000.00
34, 150.00, 59.50, 2000.00
35, 150.00, 60.50, 2000.00
36, 150.00, 60.75, 2000.00
37, 150.00, 62.00, 2000.00
38, 150.00, 63.50, 2000.00
39, 150.00, 64.25, 2000.00
40, 150.00, 65.25, 2000.00
41, 150.00, 66.50, 2000.00
42, 150.00, 67.75, 2000.00
43, 150.00, 68.75, 2000.00
44, 150.00, 69.25, 2000.00
45, 150.00, 70.75, 2000.00
46, 150.00, 71.25, 2000.00
47, 150.00, 74.00, 2000.00
48, 150.00, 74.50, 2000.00
49, 150.00, 75.00, 2000.00
50, 150.00, 76.25, 2000.00
51, 150.00, 76.75, 2000.00
52, 150.00, 78.25, 2000.00
53, 150.00, 79.25, 2000.00
54, 150.00, 80.75, 2000.00
55, 150.00, 81.50, 2000.00
56, 150.00, 83.50, 2000.00
57, 150.00, 84.25, 2000.00
58, 150.00, 85.00, 2000.00
59, 150.00, 86.00, 2000.00
60, 150.00, 87.00, 2000.00
61, 150.00, 89.00, 2000.00
62, 150.00, 89.75, 2000.00
63, 150.00, 90.75, 2000.00
64, 150.00, 91.75, 2000.00
65, 150.00, 92.50, 2000.00
66, 150.00, 93.00, 2000.00
67, 150.00, 94.75, 2000.00
68, 150.00, 95.25, 2000.00
69, 150.00, 96.00, 2000.00
70, 150.00, 97.00, 2000.00
71, 150.00, 98.50, 2000.00
72, 150.00, 99.75, 2000.00
73, 150.00, 101.50, 2000.00
74, 150.00, 103.25, 2000.00
75, 150.00, 104.50, 2000.00
76, 150.00, 105.50, 2000.00
77, 150.00, 106.25, 2000.00
78, 150.00, 107.75, 2000.00
79, 150.00, 108.75, 2000.00
80, 150.00, 110.00, 2000.00
81, 150.00, 110.50, 2000.00
82, 150.00, 111.75, 2000.00
83, 150.00, 112.75, 2000.00
84, 150.00, 113.50, 2000.00
85, 150.00, 114.50, 2000.00
86, 150.00, 116.00, 2000.00
87, 150.00, 117.25, 2000.00
88, 150.00, 118.75, 2000.00
89, 150.00, 119.50, 2000.00
90, 150.00, 120.75, 2000.00
91, 150.00, 122.00, 2000.00
92, 150.00, 123.00, 2000.00
93, 150.00, 125.00, 2000.00
94, 150.00, 126.00, 2000.00
95, 150.00, 127.00, 2000.00
96, 150.00, 127.50, 2000.00
97, 150.00, 128.50, 2000.00
98, 150.00, 129.25, 2000.00
99, 150.00, 130.50, 2000.00
100, 150.00, 130.75, 2000.00
101, 150.00, 131.50, 2000.00
102, 150.00, 132.75, 1986.58
103, 150.00, 134.25, 1852.01
104, 150.00, 135.25, 1697.41
105, 150.00, 136.25, 1607.78
106, 150.00, 136.75, 1448.11
107, 150.00, 137.75, 1448.11
108, 150.00, 139.50, 1358.41
109, 150.00, 140.25, 1168.68
110, 150.00, 139.75, 1113.92
111, 150.00, 142.00, 1189.18
112, 150.00, 142.75, 819.36
113, 150.00, 143.25, 819.36
114, 150.00, 144.00, 819.53
115, 150.00, 144.25, 739.67
116, 150.00, 144.75, 724.82
117, 150.00, 144.75, 669.95
118, 150.00, 146.25, 500.04
119, 150.00, 146.75, 500.04
120, 150.00, 147.50, 470.13
121, 150.00, 147.75, 390.19
122, 150.00, 148.25, 375.24
123, 150.00, 148.00, 320.29
124, 150.00, 148.75, 270.32
125, 150.00, 149.00, 270.32
126, 150.00, 150.00, 250.34
127, 155.00, 150.50, 1405.59
128, 155.00, 150.25, 1380.82
129, 155.00, 150.75, 1643.56
130, 155.00, 150.75, 1306.27
131, 155.00, 150.00, 1844.02
132, 155.00, 150.25, 1844.02
133, 155.00, 150.00, 1519.26
134, 155.00, 149.50, 1719.51
135, 155.00, 150.50, 1932.28
136, 155.00, 151.25, 844.97
137, 160.00, 152.25, 2000.00
138, 160.00, 152.00, 2000.00
139, 160.00, 152.25, 2000.00
140, 160.00, 153.50, 2000.00
141, 160.00, 154.25, 1796.47
142, 160.00, 154.50, 1696.76
143, 160.00, 155.25, 1334.49
144, 160.00, 155.25, 1334.49
145, 160.00, 155.25, 1584.73
146, 160.00, 155.75, 1584.97
147, 165.00, 155.50, 2000.00
148, 165.00, 156.50, 2000.00
149, 165.00, 156.25, 2000.00
150, 165.00, 157.25, 2000.00
151, 165.00, 157.25, 2000.00
152, 165.00, 158.00, 2000.00
153, 165.00, 158.75, 2000.00
154, 165.00, 159.25, 1850.28
155, 165.00, 160.25, 1213.02
156, 165.00, 162.25, 488.16
157, 170.00, 163.00, 488.16
158, 170.00, 163.75, 2000.00
159, 170.00, 164.75, 1851.32
160, 170.00, 165.25, 1489.08
161, 170.00, 166.00, 1464.32
162, 170.00, 166.50, 901.99
163, 170.00, 167.75, 901.99
164, 170.00, 168.00, 527.11
165, 170.00, 168.50, 702.21
166, 170.00, 170.00, 489.78
167, 175.00, 170.75, 1290.03
168, 175.00, 170.25, 1527.77
169, 175.00, 170.25, 1590.51
170, 175.00, 169.75, 1590.51
171, 175.00, 169.75, 1865.77
172, 175.00, 169.50, 1741.03
173, 175.00, 169.50, 1878.81
174, 175.00, 170.25, 1816.58
175, 175.00, 171.25, 854.27
176, 175.00, 172.00, 854.27
177, 180.00, 171.75, 879.42
178, 180.00, 172.75, 2000.00
179, 180.00, 173.75, 2000.00
180, 180.00, 174.75, 1793.01
181, 180.00, 175.25, 1218.24
182, 180.00, 175.75, 1318.46
183, 180.00, 176.25, 1318.46
184, 180.00, 176.25, 1168.64
185, 180.00, 176.75, 1293.83
186, 180.00, 177.50, 1018.99
187, 224.00, 178.25, 2000.00
188, 224.00, 178.25, 2000.00
189, 224.00, 179.00, 2000.00
190, 224.00, 180.00, 2000.00
191, 224.00, 180.25, 2000.00
192, 224.00, 181.25, 2000.00
193, 224.00, 181.25, 2000.00
194, 224.00, 180.75, 2000.00
195, 224.00, 181.25, 2000.00
196, 224.00, 180.75, 2000.00
197, 224.00, 181.25, 2000.00
198, 224.00, 182.50, 2000.00
199, 224.00, 182.75, 2000.00
200, 224.00, 183.00, 2000.00
