Time, Setpoint, Input, Output
1, 150.00, 22.50, 2000.00
2, 150.00, 22.75, 2000.00
3, 150.00, 22.75, 2000.00
4, 150.00, 22.75, 2000.00
5, 150.00, 22.75, 2000.00
6, 150.00, 23.50, 2000.00
7, 150.00, 24.00, 2000.00
8, 150.00, 25.00, 2000.00
9, 150.00, 25.25, 2000.00
10, 150.00, 26.00, 2000.00
11, 150.00, 26.25, 2000.00
12, 150.00, 27.75, 2000.00
13, 150.00, 28.75, 2000.00
14, 150.00, 29.75, 2000.00
15, 150.00, 30.00, 2000.00
16, 150.00, 31.75, 2000.00
17, 150.00, 32.75, 2000.00
18, 150.00, 33.75, 2000.00
19, 150.00, 35.75, 2000.00
20, 150.00, 36.50, 2000.00
21, 150.00, 37.75, 2000.00
22, 150.00, 38.75, 2000.00
23, 150.00, 39.75, 2000.00
24, 150.00, 41.00, 2000.00
25, 150.00, 42.25, 2000.00
26, 150.00, 43.50, 2000.00
27, 150.00, 44.50, 2000.00
28, 150.00, 45.50, 2000.00
29, 150.00, 47.25, 2000.00
30, 150.00, 49.00, 2000.00
31, 150.00, 50.75, 2000.00
32, 150.00, 51.00, 2000.00
33, 150.00, 53.00, 2000.00
34, 150.00, 53.25, 2000.00
35, 150.00, 55.50, 2000.00
36, 150.00, 56.50, 2000.00
37, 150.00, 57.75, 2000.00
38, 150.00, 58.75, 2000.00
39, 150.00, 60.50, 2000.00
40, 150.00, 61.00, 2000.00
41, 150.00, 63.25, 2000.00
42, 150.00, 64.50, 2000.00
43, 150.00, 66.25, 2000.00
44, 150.00, 67.50, 2000.00
45, 150.00, 68.00, 2000.00
46, 150.00, 70.50, 2000.00
47, 150.00, 71.00, 2000.00
48, 150.00, 72.25, 2000.00
49, 150.00, 74.25, 2000.00
50, 150.00, 75.00, 2000.00
51, 150.00, 75.75, 2000.00
52, 150.00, 77.25, 2000.00
53, 150.00, 78.50, 2000.00
54, 150.00, 80.25, 2000.00
55, 150.00, 81.25, 2000.00
56, 150.00, 82.50, 2000.00
57, 150.00, 83.00, 2000.00
58, 150.00, 85.00, 2000.00
59, 150.00, 85.50, 2000.00
60, 150.00, 87.25, 2000.00
61, 150.00, 88.25, 2000.00
62, 150.00, 89.25, 2000.00
63, 150.00, 91.00, 2000.00
64, 150.00, 92.25, 2000.00
65, 150.00, 92.50, 2000.00
66, 150.00, 94.25, 2000.00
67, 150.00, 95.50, 2000.00
68, 150.00, 96.50, 2000.00
69, 150.00, 97.00, 2000.00
70, 150.00, 98.50, 2000.00
71, 150.00, 99.25, 2000.00
72, 150.00, 101.00, 2000.00
73, 150.00, 102.25, 2000.00
74, 150.00, 104.25, 2000.00
75, 150.00, 105.25, 2000.00
76, 150.00, 106.75, 2000.00
77, 150.00, 108.75, 2000.00
78, 150.00, 109.75, 2000.00
79, 150.00, 110.75, 2000.00
80, 150.00, 112.50, 2000.00
81, 150.00, 113.00, 2000.00
82, 150.00, 114.00, 2000.00
83, 150.00, 116.00, 2000.00
84, 150.00, 117.25, 2000.00
85, 150.00, 118.50, 2000.00
86, 150.00, 120.00, 2000.00
87, 150.00, 121.25, 2000.00
88, 150.00, 122.25, 2000.00
89, 150.00, 123.50, 2000.00
90, 150.00, 124.00, 2000.00
91, 150.00, 125.25, 2000.00
92, 150.00, 127.00, 2000.00
93, 150.00, 128.25, 2000.00
94, 150.00, 129.50, 2000.00
95, 150.00, 130.75, 2000.00
96, 150.00, 131.50, 2000.00
97, 150.00, 132.00, 1991.67
98, 150.00, 134.00, 1947.12
99, 150.00, 135.50, 1717.52
100, 150.00, 136.50, 1457.86
