Time, Setpoint, Input, Output
257,100,156.25,0
258,100,155.25,0
259,100,154.75,0
260,100,155,0
261,100,154.75,0
262,100,154,0
263,100,152.75,0
264,100,152,0
265,100,150.75,0
266,100,149.25,0
267,100,148.75,0
268,100,147.5,0
269,100,146.75,0
270,100,146.25,0
271,100,145.25,0
272,100,145.5,0
273,100,144.75,0
274,100,143.25,0
275,100,142.75,0
276,100,141.75,0
277,100,141,0
278,100,140.75,0
279,100,139.75,0
280,100,138.75,0
281,100,138.5,0
282,100,137,0
283,100,135.75,0
284,100,134,0
285,100,134.5,0
286,100,133.5,0
287,100,132.5,0
288,100,131.25,0
289,100,131,0
290,100,131.25,0
291,100,130.75,0
292,100,131,0
293,100,131,0
294,100,130.5,0
295,100,129,0
296,100,129,0
297,100,128.75,0
298,100,127.25,0
299,100,127.25,0
300,100,126.5,0
301,100,125.25,0
302,100,124.5,0
303,100,124.25,0
304,100,124.25,0
305,100,124.75,0
306,100,123.25,0
307,100,122.75,0
308,100,123,0
309,100,122,0
310,100,121.25,0
311,100,120.5,0
312,100,119.5,0
313,100,119.25,0
314,100,119,0
315,100,118.25,0
316,100,117.5,0
317,100,116.5,0
318,100,116.25,0
319,100,115.75,0
320,100,114.75,0
321,100,115.25,0
322,100,114.5,0
323,100,114.5,0
324,100,114.5,0
325,100,113.5,0
326,100,113,0
327,100,113,0
328,100,111.25,0
329,100,111.25,0
330,100,110.75,0
331,100,110.25,0
332,100,109.75,0
333,100,108.5,0
334,100,108.25,0
335,100,108,0
336,100,106.75,0
337,100,106.75,0
338,100,106.5,0
339,100,106.5,0
340,100,106.25,0
341,100,106.5,0
342,100,106.75,0
343,100,106.75,0
344,100,106,0
345,100,105.25,0
346,100,106,0
347,100,104.75,0
348,100,104.25,0
349,100,104,0
350,100,103.25,0
351,100,102,0
352,100,101.75,0
353,100,101.75,0
354,100,101.5,0
355,100,100.5,0
356,100,100.5,200
357,100,100,0
